Date,AAPL,AMZN,CAT,JNJ,JPM,KO,MSFT,UNH,V,XOM,^GSPC
2025-07-17,209.38282775878906,223.8800048828125,414.3812561035156,159.92149353027344,287.201904296875,69.56414031982422,508.7446594238281,282.1585693359375,347.7880859375,108.94513702392578,6297.35986328125
2025-07-18,210.539306640625,226.1300048828125,410.0596923828125,160.6279754638672,288.55914306640625,68.83489990234375,507.10418701171875,276.84979248046875,347.032470703125,105.14971160888672,6296.7900390625
2025-07-21,211.8353729248047,229.3000030517578,407.9407653808594,161.2755889892578,288.2619323730469,69.05170440673828,507.1141052246094,276.3502502441406,348.91156005859375,105.42291259765625,6305.60009765625
2025-07-22,213.74952697753906,227.47000122070312,415.0238037109375,164.77859497070312,288.7176513671875,68.64766693115234,502.3517761230469,279.2789001464844,349.8262023925781,105.90099334716797,6309.6201171875
2025-07-23,213.50030517578125,228.2899932861328,425.3697814941406,165.92666625976562,293.998046875,68.15493774414062,502.9483337402344,286.5074462890625,353.2364196777344,107.25719451904297,6358.91015625
2025-07-24,213.11148071289062,232.22999572753906,427.2897644042969,166.3780059814453,293.78997802734375,68.0958023071289,507.92938232421875,272.8633117675781,351.9240417480469,108.0962905883789,6363.35009765625
2025-07-25,213.2311248779297,231.44000244140625,431.497802734375,165.14166259765625,295.84075927734375,68.16478729248047,510.74310302734375,275.29241943359375,354.9762878417969,107.71576690673828,6388.64013671875
2025-07-28,213.40061950683594,232.7899932861328,430.6920166015625,163.10069274902344,295.50390625,67.10047912597656,509.5400390625,276.3306579589844,353.41534423828125,108.73048400878906,6389.77001953125
2025-07-29,210.62904357910156,231.00999450683594,427.8169860839844,164.95523071289062,294.27545166015625,68.37173461914062,509.6096496582031,255.71263122558594,349.2595520019531,110.13546752929688,6370.85986328125
2025-07-30,208.415771484375,230.19000244140625,431.8658752441406,164.1211700439453,296.8413391113281,67.75089263916016,510.2757568359375,260.5806579589844,348.8817443847656,109.1792984008789,6362.89990234375
2025-07-31,206.94027709960938,234.11000061035156,435.7456359863281,161.6484832763672,293.4828796386719,66.90338897705078,530.4187622070312,244.43881225585938,343.4731750488281,108.92561340332031,6339.39013671875
2025-08-01,201.76600646972656,214.75,426.4640808105469,164.1898651123047,286.6768493652344,67.85929107666016,521.0830078125,232.89076232910156,337.3885498046875,106.9742431640625,6238.009765625
2025-08-04,202.7330780029297,211.64999389648438,431.44805908203125,167.83023071289062,291.5213317871094,67.95783996582031,532.54638671875,236.03488159179688,340.17236328125,104.75943756103516,6329.93994140625
2025-08-05,202.3043670654297,213.75,431.9753112792969,167.53585815429688,288.658203125,68.0465316772461,524.701904296875,245.84925842285156,335.4796447753906,104.63259887695312,6299.18994140625
